fold,val_auc,val_pr_auc,val_acc_05,val_f1_05,pred_rate_05,model
1,0.8662207357859532,0.8621252215874642,0.7755102040816326,0.7555555555555555,0.4489795918367347,ft_transformer
2,0.8417508417508418,0.8600423258279539,0.7959183673469388,0.7368421052631579,0.32653061224489793,ft_transformer
3,0.8828671328671329,0.8886382631035037,0.7708333333333334,0.7317073170731707,0.3958333333333333,ft_transformer
4,0.8846153846153846,0.8742004695090115,0.7708333333333334,0.7555555555555555,0.4791666666666667,ft_transformer
5,0.8164335664335665,0.8001044136370524,0.7291666666666666,0.6829268292682927,0.3958333333333333,ft_transformer
1,0.8327759197324415,0.7920126820091757,0.7142857142857143,0.6818181818181818,0.42857142857142855,gated_mlp
2,0.8333333333333333,0.8364797927364771,0.7551020408163265,0.7142857142857143,0.40816326530612246,gated_mlp
3,0.8059440559440559,0.8042895457747343,0.7291666666666666,0.6829268292682927,0.3958333333333333,gated_mlp
4,0.8846153846153846,0.8647578941493992,0.75,0.76,0.5833333333333334,gated_mlp
5,0.8111888111888113,0.7494612175452651,0.7708333333333334,0.7317073170731707,0.3958333333333333,gated_mlp
1,0.9197324414715718,0.9351900509422149,0.8367346938775511,0.84,0.5510204081632653,cnn_transformer
2,0.835016835016835,0.845580412802234,0.7755102040816326,0.7027027027027027,0.30612244897959184,cnn_transformer
3,0.8846153846153846,0.8822493086424955,0.7708333333333334,0.7555555555555555,0.4791666666666667,cnn_transformer
4,0.9213286713286715,0.9120940802464346,0.8125,0.7906976744186046,0.4375,cnn_transformer
5,0.8723776223776224,0.8602334595828962,0.7916666666666666,0.7727272727272727,0.4583333333333333,cnn_transformer
